"","x"
"270",0.127572238445282
"271",0
"272",0
"273",0
"274",0.302419751882553
"275",0
"276",0
"277",0.445598691701889
"278",0
"279",0.892452299594879
"280",0.469803005456924
"281",0
"282",0.812811136245728
"283",0
"284",0
"285",0
"286",0.874724745750427
"287",0
"288",0.0355385355651379
"289",0
"290",0.00208789040334523
"291",0.542312026023865
"292",0.478151321411133
"293",0
"294",0
"295",0.40707466006279
"296",0.182615950703621
"297",0.364795029163361
"298",0
"299",0.569926977157593
"300",0
"301",0.266483664512634
"302",0
"303",0.775062620639801
"304",0
"305",0.576000928878784
"306",0
"307",0
"308",0
"309",0
"310",0.122689075767994
"311",0
"312",0
"313",0.426065355539322
"314",0
"315",0.452637314796448
"316",0.50240296125412
"317",0.443855196237564
"318",0.42321640253067
"319",0
"320",0
"321",0
"322",0.825440466403961
"323",0.3279088139534
"324",0
"325",0
"326",0
"327",0
"328",0.89814817905426
"329",0.412569433450699
"330",0
"331",0
"332",0.407574206590652
"333",0.186068564653397
"334",0.00852005649358034
"335",0
"336",0.281187236309052
"337",0
"338",0
"339",0
"340",0.524751961231232
"341",0.794978976249695
"342",0
"343",0
"344",0.634715259075165
"345",0.252882152795792
"346",0
"347",0.0586308501660824
"348",0
"349",0.388962537050247
"350",0.234761729836464
"351",0.717250227928162
"352",0
"353",0.488384872674942
"354",0
"355",0.355532824993134
"356",0
"357",0
"358",0.218090191483498
"359",0.0407944582402706
"360",0.319514095783234
"361",0.139032438397408
"362",0
"363",0
"364",0
"365",0.233601942658424
"366",0.172331169247627
"367",0.768427670001984
"368",0
"369",0
"370",0.512449204921722
"371",0
"372",0
"373",0.479466050863266
"374",0.349372714757919
"375",0
"376",0.443120688199997
"377",0
"378",0.141399472951889
"379",0
"380",0.0160701796412468
"381",0
"382",0
"383",0.148603454232216
"384",0
"385",0
"386",0.103377543389797
"387",0.173037633299828
"388",0.289878338575363
"389",0.203966408967972
"390",0.00915268156677485
"391",0.0327202938497066
"392",0
"393",0
"394",0.530019283294678
"395",0.207649260759354
"396",0.138976275920868
"397",0.311935991048813
"398",0.256175667047501
"399",0.57771509885788
"400",0.399691432714462
"401",0
"402",0.304984271526337
"403",0.575963854789734
"404",0.452374428510666
"405",0.143583655357361
"406",0.849700391292572
"407",0
"408",0
"409",0
"410",0.190714687108994
"411",0
"412",0
"413",0
"414",0.25920507311821
"415",0
"416",0.328262537717819
"417",0.251884281635284
"418",0
"419",0
"420",0.693862557411194
"421",0
"422",0.823703169822693
"423",0.335568159818649
"424",0.292925238609314
"425",0
"426",0
"427",0
"428",0.559120416641235
"429",0.45189043879509
"430",0
"431",0.911224663257599
"432",0.661349713802338
"433",0
"434",0
"435",0.386980473995209
"436",0.314737200737
"437",0.857289612293243
"438",0.268641591072083
"439",0
