"","x"
"179",0
"180",0
"181",0
"182",0
"183",0.0227207336574793
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0.0105528244748712
"191",0
"192",0.0133752981200814
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0.139878749847412
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0.114548824727535
"213",0
"214",0
"215",0
"216",0.00554447621107101
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0.0585971586406231
"229",0.0183331370353699
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0.0779699236154556
"238",0.0588312186300755
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0.0219432208687067
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0.0146415298804641
"271",0
"272",0
"273",0
"274",0
"275",0.0160977076739073
"276",0
"277",0
"278",0.304508537054062
"279",0
"280",0.021109689027071
"281",0
"282",0.0162383262068033
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0.0230150111019611
"295",0
"296",0
"297",0.106831043958664
"298",0
"299",0
"300",0
"301",0
"302",0.0244506169110537
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0.0398680120706558
"311",0
"312",0.015835989266634
"313",0
"314",0
"315",0
"316",0.164553388953209
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0.0237687695771456
"323",0.0202996842563152
"324",0
"325",0
"326",0
"327",0.0975561439990997
"328",0.0434424355626106
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0
"340",0.447249591350555
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0.00588386226445436
"351",0.219978049397469
"352",0
"353",0.0477435626089573
"354",0
"355",0
"356",0
"357",0
"358",0.0886950567364693
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0.227391287684441
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0.000235209794482216
"374",0.0427174158394337
"375",0
"376",0.0341704525053501
"377",0
"378",0
"379",0
"380",0
"381",0.0449052043259144
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0.0491427890956402
"389",0
"390",0
"391",0.005392677616328
"392",0.0405185706913471
"393",0.00611991342157125
"394",0.0124876536428928
"395",0
"396",0
"397",0
"398",0.05190309882164
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0.0414707213640213
"407",0
"408",0.0545106902718544
"409",0.00603834027424455
"410",0
"411",0
"412",0
"413",0
"414",0
"415",0
"416",0
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0
"423",0
"424",0.00122916954569519
"425",0
"426",0
"427",0
"428",0
"429",0.0273937415331602
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0
"436",0
"437",0
"438",0.112921096384525
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0.111630246043205
"450",0.0342944152653217
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0.0865704044699669
"461",0.0176624376326799
"462",0.0130657581612468
"463",0
"464",0
"465",0
"466",0.0182580519467592
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
