"","x"
"157",0.467322409152985
"158",0
"159",0
"160",0.539002478122711
"161",0
"162",0
"163",0
"164",0.650804936885834
"165",0
"166",0
"167",0.773997485637665
"168",0
"169",0.538115620613098
"170",0.324240118265152
"171",0
"172",0.907225608825684
"173",0.841776788234711
"174",0
"175",0
"176",0.907496809959412
"177",0
"178",0
"179",0
"180",0.714532732963562
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0.793053925037384
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0.246982559561729
"194",0.835552334785461
"195",0
"196",0
"197",0
"198",0
"199",0.579961001873016
"200",0
"201",0
"202",0
"203",0.593026638031006
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0.964163064956665
"211",0
"212",0
"213",0.929999649524689
"214",0.984514653682709
"215",0.958847403526306
"216",0
"217",0.304167300462723
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0.2764011323452
"240",0
"241",0
"242",0.971484899520874
"243",0
"244",0.177737891674042
"245",0
"246",0.50847977399826
"247",0
"248",0
"249",0.840207457542419
"250",0.814596951007843
"251",0.28380224108696
"252",0
"253",0.456061989068985
"254",0
"255",0.542713522911072
"256",0.824066340923309
"257",0.557154655456543
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0.675191760063171
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0.499438881874084
"272",0.82577109336853
"273",0
"274",0
"275",0.384628981351852
"276",0
"277",0
"278",0.32118421792984
"279",0.884638369083405
"280",0.929938912391663
"281",0
"282",0.550854623317719
"283",0
"284",0.940929353237152
"285",0
"286",0.128969445824623
"287",0.4480821788311
"288",0.0186588447540998
"289",0
"290",0
"291",0
"292",0.950049698352814
"293",0.50068861246109
"294",0
"295",0
"296",0
"297",0.865292608737946
"298",0
"299",0.662196099758148
"300",0
"301",0
"302",0
"303",0.316919237375259
"304",0
"305",0
"306",0
"307",0
"308",0.284641414880753
"309",0.312077224254608
"310",0.252369612455368
"311",0.40063464641571
"312",0
"313",0
"314",0
"315",0.735414683818817
"316",0
"317",0.528085350990295
"318",0.0194956436753273
"319",0
"320",0.170217797160149
"321",0.96103698015213
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0.928780853748322
"335",0.943573236465454
"336",0.899579048156738
"337",0.962754845619202
"338",0
"339",0
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0.191997200250626
"346",0
"347",0
"348",0
"349",0
"350",0.922183036804199
"351",0
"352",0
"353",0
"354",0
"355",0.526319682598114
"356",0.925136983394623
"357",0
"358",0.635561347007751
"359",0
"360",0.02603998221457
"361",0
"362",0.784320950508118
"363",0
"364",0
"365",0.935203790664673
"366",0
"367",0.539598405361176
"368",0
"369",0.913450479507446
"370",0
"371",0.530638217926025
"372",0.970193445682526
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0.531227707862854
"379",0
"380",0.364643573760986
"381",0.580459237098694
"382",0.466215491294861
"383",0
"384",0.668567955493927
"385",0.448175430297852
"386",0
"387",0
"388",0
"389",0.884785711765289
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",0
"402",0.765201508998871
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0.479336589574814
"409",0.964905500411987
"410",0.868244230747223
"411",0
"412",0.778760731220245
"413",0.73443728685379
"414",0.718110918998718
"415",0
"416",0.830262899398804
"417",0
"418",0
"419",0
"420",0
"421",0
"422",0.897261321544647
"423",0.355718165636063
"424",0
"425",0
"426",0
"427",0
"428",0
"429",0
"430",0
"431",0
"432",0
"433",0
"434",0
"435",0.547461032867432
"436",0.947312712669373
"437",0.517218887805939
"438",0
"439",0
"440",0.798511266708374
"441",0.223571211099625
"442",0.301778644323349
"443",0.587039649486542
"444",0
"445",0
"446",0.700043439865112
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0.855021238327026
"453",0
"454",0
"455",0.986234068870544
"456",0
"457",0.121840201318264
"458",0
"459",0
"460",0
"461",0
"462",0.945565700531006
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0.355737745761871
"475",0
"476",0.258889228105545
"477",0
"478",0.486278414726257
"479",0
"480",0.817540347576141
"481",0
"482",0.921421647071838
"483",0
"484",0.89549195766449
"485",0
"486",0
"487",0
"488",0
"489",0.663097143173218
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0.964395761489868
"496",0
"497",0
"498",0
"499",0.692314028739929
"500",0
"501",0
"502",0
"503",0
"504",0.947312712669373
"505",0
"506",0.233547866344452
"507",0.393491744995117
"508",0
"509",0
"510",0
"511",0.93078738451004
"512",0
"513",0.778943479061127
"514",0.911727130413055
"515",0
"516",0.962849259376526
"517",0
"518",0.957461297512054
"519",0
"520",0.323123574256897
"521",0.30694568157196
"522",0.984065890312195
"523",0.86412113904953
"524",0
"525",0
"526",0
"527",0.882197082042694
"528",0.935262560844421
"529",0
"530",0
"531",0
"532",0
"533",0.154965028166771
"534",0.892347276210785
"535",0
"536",0
"537",0.210515007376671
"538",0.662425398826599
"539",0.185237616300583
"540",0
"541",0.666383802890778
"542",0.597618997097015
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0.676111876964569
"549",0.451584726572037
