"","x"
"156",0
"157",0.526991784572601
"158",0
"159",0
"160",0.492118984460831
"161",0
"162",0
"163",0
"164",0.0798994600772858
"165",0.926394999027252
"166",0
"167",0
"168",0.899818181991577
"169",0
"170",0.878255367279053
"171",0.901340246200562
"172",0.367556512355804
"173",0.978202760219574
"174",0
"175",0
"176",0
"177",0.856029987335205
"178",0
"179",0
"180",0
"181",0.583760797977448
"182",0.92590320110321
"183",0
"184",0
"185",0
"186",0
"187",0.564477026462555
"188",0.813016772270203
"189",0
"190",0.942810833454132
"191",0
"192",0
"193",0.70550411939621
"194",0.504769861698151
"195",0.272008538246155
"196",0.849389433860779
"197",0
"198",0.854205667972565
"199",0.334447085857391
"200",0
"201",0.935367703437805
"202",0
"203",0.437113970518112
"204",0.956408798694611
"205",0.446938186883926
"206",0.216214120388031
"207",0.700055718421936
"208",0
"209",0.644925057888031
"210",0
"211",0
"212",0.183592095971107
"213",0.401421070098877
"214",0.541432738304138
"215",0
"216",0
"217",0
"218",0.642862617969513
"219",0
"220",0.449509918689728
"221",0.451102077960968
"222",0.847042083740234
"223",0
"224",0.560808062553406
"225",0
"226",0
"227",0
"228",0.638485074043274
"229",0.954306721687317
"230",0
"231",0
"232",0.686366021633148
"233",0
"234",0.865846514701843
"235",0
"236",0.848176777362823
"237",0.255983918905258
"238",0.900511085987091
"239",0
"240",0.858729898929596
"241",0.475730389356613
"242",0.815266847610474
"243",0
"244",0
"245",0.821282029151917
"246",0
"247",0.567553520202637
"248",0
"249",0.906055092811584
"250",0
"251",0
"252",0.415510296821594
"253",0.463603585958481
"254",0
"255",0
"256",0
"257",0.709676086902618
"258",0
"259",0
"260",0
"261",0
"262",0.293585658073425
"263",0.846392273902893
"264",0.768872737884521
"265",0
"266",0
"267",0
"268",0.950086891651154
"269",0.629322826862335
"270",0
"271",0
"272",0
"273",0
"274",0.707154750823975
"275",0.954306721687317
"276",0.937851786613464
"277",0.00198859628289938
"278",0
"279",0.951545000076294
"280",0.559321582317352
"281",0
"282",0.704823911190033
"283",0.804825246334076
"284",0.372541725635529
"285",0
"286",0.679403841495514
"287",0
"288",0
"289",0.938080847263336
"290",0
"291",0
"292",0.524644136428833
"293",0
"294",0.216661125421524
"295",0
"296",0
"297",0
"298",0
